,business_dba,business_type,location_1,location_1_location,latitude,longitude
901,PIZZA BAR,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.58104, 39.098269]}",1320 GRAND AVENUE 64106-,39.098269,-94.58104
902,HARVESTERS THE COMMUNITY FOOD NETWORK,NON PROFIT ORGINIZATION,"{'type': 'Point', 'coordinates': [-94.516557, 39.05613]}",3801 TOPPING AVENUE 64129-,39.05613,-94.516557
903,MILLENNIUM SUPER STORE 1,PACKAGE,"{'type': 'Point', 'coordinates': [-94.537778, 39.094091]}",1501 CLEVELAND AVENUE 64127-,39.094091,-94.537778
904,QUIK TRIP #173,PACKAGE,"{'type': 'Point', 'coordinates': [-94.587127, 39.195828]}",528 NW ENGLEWOOD ROAD 64118-3960,39.195828,-94.587127
906,KCI CAR CARE,PACKAGE,"{'type': 'Point', 'coordinates': [-94.711266, 39.302028]}",426 PARIS 64153-,39.302028,-94.711266
907,UPTOWN ARTS BAR,TAVERN,"{'type': 'Point', 'coordinates': [-94.590446, 39.061788]}",3611 BROADWAY 64111-,39.061788,-94.590446
909,QUIK TRIP #184,PACKAGE,"{'type': 'Point', 'coordinates': [-94.586556, 39.048138]}",4327 MAIN STREET 64111-1809,39.048138,-94.586556
910,PRICE CHOPPER #21,PACKAGE,"{'type': 'Point', 'coordinates': [-94.574211, 39.246409]}",500 NE BARRY ROAD 64155,39.246409,-94.574211
911,CHECKSMART 2,SHORT TERM LOAN,"{'type': 'Point', 'coordinates': [-94.574776, 39.009339]}",6501 TROOST AVENUE 64131-,39.009339,-94.574776
912,54TH STREET GRILL #5,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.465855, 39.244655]}",9251 NE BARRY ROAD 64157-,39.244655,-94.465855
913,QUIK TRIP #227 R,PACKAGE,"{'type': 'Point', 'coordinates': [-94.607063, 39.072107]}",3101 SOUTHWEST BLVD 64108-3647,39.072107,-94.607063
914,VENUS PAINT SHOP,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.561306, 39.10545]}",631 HIGHLAND AVENUE 64106-,39.10545,-94.561306
915,BERBIGLIA WINE & SPIRITS #75...,PACKAGE,"{'type': 'Point', 'coordinates': [-94.586576, 39.049193]}",4300 MAIN STREET 64111,39.049193,-94.586576
916,TANNERS BAR  & GRILL,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.461559, 39.241664]}",8250 N CHURCH ROAD 64158-,39.241664,-94.461559
917,CENTRAL STATES BEVERAGE COMPANY,WHOLESALER,"{'type': 'Point', 'coordinates': [-94.607063, 38.870319]}",14220 WYANDOTTE STREET 64145-,38.870319,-94.607063
918,ONE %,TAVERN,"{'type': 'Point', 'coordinates': [-94.581206, 39.095012]}",1520 GRAND AVENUE 64108-,39.095012,-94.581206
919,MARK TROKEYS AUTOMOTIVE,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.58474, 38.999228]}",340 E GREGORY 64114-,38.999228,-94.58474
920,DB COOPERS,TAVERN,"{'type': 'Point', 'coordinates': [-94.606436, 39.057338]}",1804 39TH STREET 64111-,39.057338,-94.606436
921,PRAIRIE VIEW PHILLIPS,PACKAGE,"{'type': 'Point', 'coordinates': [-94.630917, 39.202746]}",5910 NW PRAIRIE VIEW ROAD 64151,39.202746,-94.630917
922,GATES BAR-B-Q 1,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.556009, 39.098712]}",1221 BROOKLYN AVENUE 64127-,39.098712,-94.556009
924,YELLOW CAB,TLS VEHICLE,"{'type': 'Point', 'coordinates': [-94.565745, 39.097592]}",1300 LYDIA 64106-0000,39.097592,-94.565745
925,THOMAS,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.60647, 39.057285]}",1815 W 39TH STREET 64111,39.057285,-94.60647
926,AMERICAN TIRE DISTRIBUTORS,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.473566, 39.168045]}",4121 KENTUCKY AVENUE 64161-,39.168045,-94.473566
927,MISSOURI BICYCLE & PEDESTRIAN FEDERATION,NON PROFIT ORGINIZATION,"{'type': 'Point', 'coordinates': [-94.467796, 39.015362]}",5916 ARLINGTON AVENUE 64133-,39.015362,-94.467796
928,T & T TIRE SHOP AND MECHANICAL SHOP,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.536781, 39.105791]}",3841 INDEPENDENCE AVENUE 64124-,39.105791,-94.536781
929,ATHLETIC & GOLF CLUB AT MAPLE CREEK,TAVERN,"{'type': 'Point', 'coordinates': [-94.515037, 39.191]}",5330 NE OAK RIDGE DRIVE 64119-,39.191,-94.515037
930,MARSH'S SUNFRESH,PACKAGE,"{'type': 'Point', 'coordinates': [-94.593809, 39.053558]}",4001 MILL STREET 64111,39.053558,-94.593809
931,WORTH PARK,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.664144, 39.265523]}",9420 NW PRAIRIE VIEW ROAD 64153-,39.265523,-94.664144
932,BERBIGLIA WINE & SPIRITS #63,PACKAGE,"{'type': 'Point', 'coordinates': [-94.605615, 38.941993]}",1114 103RD STREET 64114,38.941993,-94.605615
933,GOMER'S MIDTOWN FINE WINES & SPIRITS,PACKAGE,"{'type': 'Point', 'coordinates': [-94.590733, 39.057462]}",3838 BROADWAY 64111,39.057462,-94.590733
934,TITLEMAX 1,SHORT TERM LOAN,"{'type': 'Point', 'coordinates': [-94.534039, 39.105768]}",4100 INDEPENDENCE AVENUE 64124-,39.105768,-94.534039
935,TAJ MAHAL RESTAURANT,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.594282, 38.992102]}",7521 WORNALL ROAD 64114,38.992102,-94.594282
936,TITLEMAX 2,SHORT TERM LOAN,"{'type': 'Point', 'coordinates': [-94.509579, 38.921793]}",11124-11126 BLUE RIDGE BLVD 64134-,38.921793,-94.509579
937,SOCIAL,TAVERN,"{'type': 'Point', 'coordinates': [-94.579756, 39.100343]}",1118 MCGEE STREET 64106-,39.100343,-94.579756
939,KOBE JAPANESE STEAK HOUSE,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.584309, 39.098497]}",1303 BALTIMORE AVENUE 64105-,39.098497,-94.584309
940,WEI'S SUPER BUFFET,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.594287, 38.99187]}",7527-7537 WORNALL 64114-,38.99187,-94.594287
941,TASSO'S GREEK RESTAURANT,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.594965, 38.975989]}",8411 WORNALL ROAD 64114,38.975989,-94.594965
942,ROMIE'S BOOZE AND BILLIARDS,TAVERN,"{'type': 'Point', 'coordinates': [-94.520647, 39.081447]}",5304 E 24TH STREET 64127-,39.081447,-94.520647
944,HOLIDAY INN KANSAS CITY NORTHEAST,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.495596, 39.168354]}",7333 PARVIN ROAD 64117-,39.168354,-94.495596
945,BLUE PARKWAY SUNFRESH,PACKAGE,"{'type': 'Point', 'coordinates': [-94.53621, 39.033917]}",4209 E 50TH TERRACE 64130-,39.033917,-94.53621
946,JAFF TOWNCAR SERVICES,TLS VEHICLE,"{'type': 'Point', 'coordinates': [-94.639149, 39.220678]}",5016 NW LINDEN ROAD 64151-,39.220678,-94.639149
947,MINSKY'S PIZZA CAFE & SPORTS BAR,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.661061, 39.246793]}",7007 NW BARRY ROAD 64153,39.246793,-94.661061
948,BO LINGS CHINESE RESTAURANT,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.581635, 39.108587]}",20 5TH STREET 64106-,39.108587,-94.581635
949,AMIGONI URBAN WINERY.,MANUFACTURER,"{'type': 'Point', 'coordinates': [-94.603502, 39.094573]}",1519 W 16TH STREET 64102-,39.094573,-94.603502
950,PRICE CHOPPER #288,PACKAGE,"{'type': 'Point', 'coordinates': [-94.450435, 39.269946]}",9717 N ASH AVENUE 64157-,39.269946,-94.450435
951,UNITED CAB AND LIVERY CO.,TLS VEHICLE,"{'type': 'Point', 'coordinates': [-94.532345, 39.100496]}",1001 SPRUCE 64127-,39.100496,-94.532345
952,DJ'S ENTERPRISE,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.574106, 39.022342]}",5736 TROOST AVENUE 64110-,39.022342,-94.574106
953,SALLAS AUTO REPAIR,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.523316, 38.921843]}",11110 HICKMAN MILLS DRIVE 64134-,38.921843,-94.523316
954,TEETERING ROCKS,TAVERN,"{'type': 'Point', 'coordinates': [-94.438827, 38.965117]}",12040 E 86TH STREET 64138,38.965117,-94.438827
955,HOSPITAL HILL ECONOMIC DEVELOPMENT CORPORATION,NON PROFIT ORGINIZATION,"{'type': 'Point', 'coordinates': [-94.575747, 39.085052]}",2301 HOLMES 64108-,39.085052,-94.575747
956,WARD PARKWAY LANES,TAVERN,"{'type': 'Point', 'coordinates': [-94.606111, 38.966964]}",1523 W 89TH STREET 64114,38.966964,-94.606111
957,PIZZA MANIFESTO,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.595551, 38.992483]}",505 W 75TH STREET 64114-,38.992483,-94.595551
958,EXPRESS MART,PACKAGE,"{'type': 'Point', 'coordinates': [-94.573292, 38.955103]}",1331 BANNISTER ROAD 64131-,38.955103,-94.573292
959,JEWELS SERVICE,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.517277, 39.034533]}",5803 BLUE PARKWAY 64129-,39.034533,-94.517277
960,HEN HOUSE #29,PACKAGE,"{'type': 'Point', 'coordinates': [-94.643216, 39.209174]}",6238 CHATHAM AVENUE 64151,39.209174,-94.643216
961,TASTY THAI,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.65107, 39.223877]}",7104 NW PRAIRIE VIEW ROAD 64151,39.223877,-94.65107
962,MARGARITAS SOUTH,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.584633, 38.904648]}",13401 HOLMES ROAD 64146-,38.904648,-94.584633
963,COLLECTION,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.581226, 39.094603]}",1532 GRAND BLVD 64108-,39.094603,-94.581226
964,MIKE'S CUT-RATE LIQUORS,PACKAGE,"{'type': 'Point', 'coordinates': [-94.59499, 38.97518]}",8447 WORNALL ROAD 64114,38.97518,-94.59499
965,KANSAS CITY SOCCER DOME,TAVERN,"{'type': 'Point', 'coordinates': [-94.512192, 39.137153]}",5909 EQUITABLE ROAD 64120,39.137153,-94.512192
966,CAFE SEBASTIENNE,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.584383, 39.046932]}",4420A WARWICK BLVD 64111,39.046932,-94.584383
967,L.C.'S BARBEQUE,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.517574, 39.034658]}",5800 BLUE PARKWAY 64129-,39.034658,-94.517574
968,RED SNAPPER PAN ASIAN BISTRO,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.606986, 38.975219]}",8430 WARD PARKWAY 64114,38.975219,-94.606986
969,"GENESSEE ROYALE, THE",RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.604828, 39.095743]}",1531 GENESSEE 64102-,39.095743,-94.604828
970,HY-VEE WINE & SPIRITS,PACKAGE,"{'type': 'Point', 'coordinates': [-94.607945, 38.98843]}",7711 STATE LINE ROAD 64114,38.98843,-94.607945
971,RUDY'S TENAMPA TAQUERIA,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.605052, 39.050153]}",1611 WESTPORT ROAD 64111-,39.050153,-94.605052
972,FOUR POINTS - KANSAS CITY SPORTS COMPLEX,TAVERN,"{'type': 'Point', 'coordinates': [-94.475565, 39.049606]}",4011 BLUE RIDGE CUTOFF 64133,39.049606,-94.475565
973,BERBIGLIA WINE & SPIRITS #64....,PACKAGE,"{'type': 'Point', 'coordinates': [-94.578942, 39.0701]}",3120 GILLHAM PLAZA 64109,39.0701,-94.578942
974,JOSE PEPPER'S #2,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.46713, 39.244989]}",9050 NE BARRY ROAD 64157-,39.244989,-94.46713
975,KALDI'S COFFEEHOUSE,SIDEWALK CAFE,"{'type': 'Point', 'coordinates': [-94.59082, 39.042326]}",318 W 47TH STREET 64112-,39.042326,-94.59082
976,DISABLED AMERICAN VETERANS,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.501725, 38.964674]}",8787 OLD SANTA FE ROAD 64138,38.964674,-94.501725
977,RENO POWERSPORTS KC,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.586725, 38.879608]}",13611 HOLMES ROAD 64145-,38.879608,-94.586725
979,BRANCATO'S CATERING,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.604814, 39.093055]}",1800 GENESSEE 64102-,39.093055,-94.604814
980,CHIPOTLE MEXICAN GRILL #6,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.447605, 39.04652]}",4151 STERLING AVENUE 64133-,39.04652,-94.447605
982,A & D AUTO SALES AND SERVICE,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.531684, 39.101486]}",905 SPRUCE AVENUE 64127-,39.101486,-94.531684
983,CVS/PHARMACY #8553....,PACKAGE,"{'type': 'Point', 'coordinates': [-94.608118, 38.943001]}",10205 STATE LINE ROAD 64114-,38.943001,-94.608118
984,NOVEL,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.594032, 39.093034]}",815 W 17TH STREET 64108-,39.093034,-94.594032
985,DR. RON'S AUTO REPAIR,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.549959, 39.094708]}",2712 TRUMAN ROAD 64127-,39.094708,-94.549959
986,JORGE TREVINO CASTRO,TLS VEHICLE,"{'type': 'Point', 'coordinates': [-94.477606, 39.003142]}",6606 LANE AVENUE 64133-,39.003142,-94.477606
987,JALAPENOS MEXICAN RESTAURANT,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.590745, 39.013273]}",6318 BROOKSIDE PLAZA 64113,39.013273,-94.590745
988,AIRPORT LUXURY,TLS VEHICLE,"{'type': 'Point', 'coordinates': [-94.258655, 38.804971]}",1501 ANDREWS STREET 64080-,38.804971,-94.258655
989,DELUXE LIQUORS,PACKAGE,"{'type': 'Point', 'coordinates': [-94.533381, 39.082244]}",4205 24TH STREET 64127,39.082244,-94.533381
990,KELLY'S WESTPORT INN,TAVERN,"{'type': 'Point', 'coordinates': [-94.591553, 39.052828]}",500 WESTPORT ROAD 64111,39.052828,-94.591553
991,DISCOUNT LIQUOR DELI & TOBACCO,PACKAGE,"{'type': 'Point', 'coordinates': [-94.521558, 38.909794]}",11810 BLUE RIDGE BLVD 64134-,38.909794,-94.521558
992,HOST INTERNATIONAL- TERMINAL B,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.718819, 39.293651]}",56 ROME CIRCLE 64153-,39.293651,-94.718819
993,MADRIGALL,TAVERN,"{'type': 'Point', 'coordinates': [-94.578799, 39.094034]}",1627 OAK 64108-,39.094034,-94.578799
994,TARGET STORE  T-1177,PACKAGE,"{'type': 'Point', 'coordinates': [-94.593531, 39.248493]}",8420 N MADISON AVENUE 64155-,39.248493,-94.593531
995,REAL JALISCO FINE MEXICAN CUISINE,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.58588, 39.196231]}",410-412 NW ENGLEWOOD ROAD 64118-,39.196231,-94.58588
996,ROCKHURST UNIVERSITY,NON PROFIT ORGINIZATION,"{'type': 'Point', 'coordinates': [-94.572975, 39.032758]}",1100 ROCKHURST ROAD 64110-,39.032758,-94.572975
997,A-1 ALIGNMENT SHOP,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.574216, 39.093529]}",1609 CHARLOTTE 64108-,39.093529,-94.574216
998,QUIK TRIP  # 222,PACKAGE,"{'type': 'Point', 'coordinates': [-94.608225, 38.982999]}",8011 STATE LINE ROAD 64114-,38.982999,-94.608225
999,TITLEMAX 6,SHORT TERM LOAN,"{'type': 'Point', 'coordinates': [-94.482236, 39.003763]}",6606 BLUE RIDGE BLVD 64133-,39.003763,-94.482236
