,business_dba,business_type,location_1,location_1_location,latitude,longitude
492,ADVANTAGE METALS RECYCLING  #2,SECONDARY METAL RECYCLER,"{'type': 'Point', 'coordinates': [-94.602443, 39.108328]}",1420 WOODSWETHER ROAD 64105-,39.108328,-94.602443
493,"ZOO, THE",TAVERN,"{'type': 'Point', 'coordinates': [-94.579781, 39.099645]}",1220 MCGEE STREET 64106,39.099645,-94.579781
494,LUNCH BOX,PACKAGE,"{'type': 'Point', 'coordinates': [-94.606132, 39.104373]}",1701 W 9TH STREET 64101-,39.104373,-94.606132
495,TONY'S LIQUORS,PACKAGE,"{'type': 'Point', 'coordinates': [-94.53737, 39.069378]}",3900 E 31ST STREET 64128,39.069378,-94.53737
496,PORT FONDA,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.590506, 39.0517]}",4141 PENNSYLVANIA 64111-,39.0517,-94.590506
497,TYCOR COMMUNITY DEVELOPMENT,NON PROFIT ORGINIZATION,"{'type': 'Point', 'coordinates': [-94.571295, 39.070209]}",3107 TROOST AVENUE 64109-,39.070209,-94.571295
498,KANSAS CITY LODGE 26 BPOE,TAVERN,"{'type': 'Point', 'coordinates': [-94.585272, 38.948373]}",515 E 99TH STREET 64131,38.948373,-94.585272
499,FOGO DE CHAO,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.589564, 39.042279]}",222 47TH STREET 64112-,39.042279,-94.589564
500,ON CALL TRANSPORTATION,TLS VEHICLE,"{'type': 'Point', 'coordinates': [-94.57282, 39.148523]}",539 E 27TH AVENUE 64116-,39.148523,-94.57282
501,801 CHOPHOUSE,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.584105, 39.09723]}",71 E 14TH STREET 64105-,39.09723,-94.584105
502,LUNA AZTECA,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.668152, 39.274811]}",10004 NW AMBASSADOR DRIVE 64153-,39.274811,-94.668152
503,ECONOMY AUTO SALVAGE,SALVAGE YARD,"{'type': 'Point', 'coordinates': [-94.519236, 39.067604]}",3139 STADIUM DRIVE 64128-,39.067604,-94.519236
504,WORLD OF SPIRITS,PACKAGE,"{'type': 'Point', 'coordinates': [-94.556771, 39.166821]}",1804 NE PARVIN ROAD 64116-,39.166821,-94.556771
506,TOMFOOLERIES  (ZONA ROSA),RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.662267, 39.251424]}",8680 NW PRAIRIE VIEW ROAD 64153-,39.251424,-94.662267
507,KC IRON & METAL,SECONDARY METAL RECYCLER,"{'type': 'Point', 'coordinates': [-94.566311, 39.089873]}",1411 E 19TH STREET 64108-,39.089873,-94.566311
508,QUIK CASH 8,SHORT TERM LOAN,"{'type': 'Point', 'coordinates': [-94.499727, 38.965478]}",8725 BLUE RIDGE BLVD 64138-,38.965478,-94.499727
509,DAILY LIMIT CAFE & PUB THE,TAVERN,"{'type': 'Point', 'coordinates': [-94.585636, 38.925805]}",523 RED BRIDGE ROAD 64131,38.925805,-94.585636
510,HILTON KANSAS CITY,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.68294, 39.296573]}",8801 112TH STREET 64153-,39.296573,-94.68294
512,MANO'S,TAVERN,"{'type': 'Point', 'coordinates': [-94.60065, 39.103408]}",1316 ST LOUIS AVENUE 64101-,39.103408,-94.60065
513,LEE VENDING,AMUSEMENT DEVICE EXHIBITOR,"{'type': 'Point', 'coordinates': [-94.477261, 39.151011]}",3200 AMERISTAR DRIVE 64161-,39.151011,-94.477261
514,H BAR,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.581836, 39.082565]}",2450 GRAND BLVD 64108-,39.082565,-94.581836
515,GREEN ACRES MARKET,PACKAGE,"{'type': 'Point', 'coordinates': [-94.599228, 39.170007]}",4175 MULBERRY DRIVE 64116-,39.170007,-94.599228
516,SNOW & COMPANY,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.585966, 39.091079]}",1815 WYANDOTTE 64108-,39.091079,-94.585966
517,PIZZA BELLA.,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.584766, 39.091453]}",1810 BALTIMORE AVENUE 64108-,39.091453,-94.584766
518,KORMA SUTRA CUISINE OF INDIA,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.590965, 39.052299]}",4113 PENNSYLVANIA 64111-,39.052299,-94.590965
519,ZMA ENTERPRISE,TLS VEHICLE,"{'type': 'Point', 'coordinates': [-94.519565, 39.208321]}",6301 QUINCY AVENUE 64119-,39.208321,-94.519565
520,WESTPORT COFFEHOUSE,AMUSEMENT DEVICE EXHIBITOR,"{'type': 'Point', 'coordinates': [-94.592935, 39.054671]}",4010 PENNSYLVANIA AVENUE 64111-,39.054671,-94.592935
522,JUST OFF BROADWAY,TAVERN,"{'type': 'Point', 'coordinates': [-94.587587, 39.086789]}",3051 CENTRAL 64108-,39.086789,-94.587587
523,TRACY'S LOAN CO,SHORT TERM LOAN,"{'type': 'Point', 'coordinates': [-94.4926, 38.951731]}",8340 E BANNISTER ROAD 64134-,38.951731,-94.4926
524,CASH AMERICA PAWN OF KC 11,SHORT TERM LOAN,"{'type': 'Point', 'coordinates': [-94.509789, 38.921072]}",11148 BLUE RIDGE BLVD 64134-,38.921072,-94.509789
525,EXPRESS STOP #2,PACKAGE,"{'type': 'Point', 'coordinates': [-94.525271, 39.105403]}",4815 INDEPENDENCE 64124-,39.105403,-94.525271
526,QUIK TRIP #229,PACKAGE,"{'type': 'Point', 'coordinates': [-94.495317, 39.168498]}",7200 NE PARVIN ROAD 64117-1576,39.168498,-94.495317
527,VFW POST #1829,TAVERN,"{'type': 'Point', 'coordinates': [-94.502396, 39.017297]}",5904 CRYSTAL AVENUE 64129,39.017297,-94.502396
529,BLUE X DISCOUNT SMOKE & CONVENIENCE STORE,PACKAGE,"{'type': 'Point', 'coordinates': [-94.594956, 38.977663]}",8300 WORNALL ROAD 64114-,38.977663,-94.594956
530,"SUNDRY A, THE",RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.584706, 39.092622]}",1706 BALITMORE AVENUE 64108-,39.092622,-94.584706
531,BARREL 87,PACKAGE,"{'type': 'Point', 'coordinates': [-94.603249, 38.963053]}",9201 WARD PARKWAY 64114-,38.963053,-94.603249
532,AMERICAN CASH ADVANCE,SHORT TERM LOAN,"{'type': 'Point', 'coordinates': [-94.594575, 38.984049]}",7927 WORNALL ROAD 64114-,38.984049,-94.594575
533,W.G. WADE SHOWS,AMUSEMENT,"{'type': 'Point', 'coordinates': [-94.534385, 38.953422]}",4707 BANNISTER ROAD 64137-,38.953422,-94.534385
534,GOLDEN BAR,TAVERN,"{'type': 'Point', 'coordinates': [-94.53185, 39.101958]}",4222 9TH STREET 64124,39.101958,-94.53185
535,HUMDINGER DRIVE-IN,AMUSEMENT DEVICE EXHIBITOR,"{'type': 'Point', 'coordinates': [-94.55222, 39.102538]}",2504 E 9TH STREET 64124-,39.102538,-94.55222
536,ON TIME AUTO/TIRE,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.493738, 39.065009]}",8520 US 40 HIGHWAY 64129-,39.065009,-94.493738
537,MC GONIGLE'S FOOD STORE,PACKAGE,"{'type': 'Point', 'coordinates': [-94.605763, 38.985464]}",1307 W 79TH STREET 64114,38.985464,-94.605763
538,EVERYDAY CONVENIENCE,PACKAGE,"{'type': 'Point', 'coordinates': [-94.521562, 39.034572]}",5401 BLUE PARKWAY 64130-,39.034572,-94.521562
